alg,thread_num,iter_type,prefill,query_num,insert,query,delete
PGM,1,seq,16000,5000,0.927778,0.000838242,0.949069
wormhole,1,seq,16000,5000,0.000459393,0.000209951,0.000456355
PGM,1,seq,17000,5000,0.948266,0.000775917,1.07202
wormhole,1,seq,17000,5000,0.000445605,0.000205058,0.000457355
PGM,1,seq,18000,5000,0.958203,0.000723364,0.980435
wormhole,1,seq,18000,5000,0.000438922,0.000189321,0.000461187
PGM,1,seq,19000,5000,0.96378,0.000855191,0.985602
wormhole,1,seq,19000,5000,0.000453857,0.000204327,0.000464622
PGM,1,rand,1000,5000,0.096045,0.000790185,0.230778
wormhole,1,rand,1000,5000,0.000404509,0.000950709,0.000142896
PGM,1,rand,2000,5000,0.102213,0.00100152,0.243801
wormhole,1,rand,2000,5000,0.000686005,0.00121284,0.000206435
PGM,1,rand,3000,5000,0.102301,0.0009524,0.241033
wormhole,1,rand,3000,5000,0.00046694,0.000957391,0.000175579
PGM,1,rand,4000,5000,0.092293,0.000832689,0.229342
wormhole,1,rand,4000,5000,0.000455629,0.0009991,0.000168522
PGM,1,rand,5000,5000,0.0763281,0.000791315,0.193026
wormhole,1,rand,5000,5000,0.000429005,0.000949718,0.000168315
PGM,1,rand,6000,5000,0.0879913,0.00074761,0.220672
wormhole,1,rand,6000,5000,0.000419124,0.00093674,0.000169635
PGM,1,rand,7000,5000,0.0934613,0.000788538,0.24841
wormhole,1,rand,7000,5000,0.000371515,0.000848112,0.000179667
PGM,1,rand,8000,5000,0.0934544,0.00074342,0.251493
wormhole,1,rand,8000,5000,0.0004276,0.000842049,0.000173821
PGM,1,rand,9000,5000,0.0975007,0.000876436,0.262009
wormhole,1,rand,9000,5000,0.000407024,0.000848302,0.000170551
PGM,1,rand,10000,5000,0.0801334,0.000719661,0.221415
wormhole,1,rand,10000,5000,0.000341195,0.000865102,0.000176683
PGM,1,rand,11000,5000,0.0865235,0.000727245,0.216884
wormhole,1,rand,11000,5000,0.000295394,0.000862655,0.00018278
PGM,1,rand,12000,5000,0.0943126,0.000990929,0.250115
wormhole,1,rand,12000,5000,0.000353601,0.000882191,0.000184433
PGM,1,rand,13000,5000,0.0927116,0.000773498,0.242723
wormhole,1,rand,13000,5000,0.00036545,0.000815011,0.00017383
PGM,1,rand,14000,5000,0.0948206,0.000842941,0.25471
wormhole,1,rand,14000,5000,0.000414753,0.000835798,0.000168023
PGM,1,rand,15000,5000,0.0900911,0.000904822,0.220751
wormhole,1,rand,15000,5000,0.000382244,0.000796271,0.000177361
PGM,1,rand,16000,5000,0.0853911,0.00083016,0.204025
wormhole,1,rand,16000,5000,0.000307357,0.000810237,0.000176667
PGM,1,rand,17000,5000,0.0917564,0.000826317,0.241652
wormhole,1,rand,17000,5000,0.000267472,0.000819988,0.000178866
PGM,1,rand,18000,5000,0.091939,0.000782305,0.223329
wormhole,1,rand,18000,5000,0.000282805,0.000812368,0.000168286
PGM,1,rand,19000,5000,0.0923623,0.000875048,0.229636
wormhole,1,rand,19000,5000,0.000271792,0.000799723,0.000163216
PGM,1,seq,1000,6000,1.30185,0.000945985,1.29274
wormhole,1,seq,1000,6000,0.0011889,0.000281245,0.000774543
PGM,1,seq,2000,6000,1.18501,0.00100665,1.16844
wormhole,1,seq,2000,6000,0.00118836,0.000317331,0.00076185
PGM,1,seq,3000,6000,1.20158,0.000983511,1.21525
wormhole,1,seq,3000,6000,0.00100707,0.000288535,0.000635208
PGM,1,seq,4000,6000,1.27218,0.000862787,1.51947
wormhole,1,seq,4000,6000,0.000912973,0.000287355,0.000641888
PGM,1,seq,5000,6000,1.27495,0.000973481,1.30707
wormhole,1,seq,5000,6000,0.000758574,0.000286779,0.000573048
PGM,1,seq,6000,6000,1.17467,0.00093164,1.23554
wormhole,1,seq,6000,6000,0.000702959,0.00025236,0.00053667
PGM,1,seq,7000,6000,1.10586,0.000771819,1.14221
wormhole,1,seq,7000,6000,0.000671809,0.000246228,0.000554428
PGM,1,seq,8000,6000,1.13985,0.000821779,1.24644
wormhole,1,seq,8000,6000,0.000648634,0.000232425,0.000558725
PGM,1,seq,9000,6000,1.25567,0.000939391,1.28723
wormhole,1,seq,9000,6000,0.000634037,0.000238126,0.000558163
PGM,1,seq,10000,6000,1.2439,0.000958158,1.28431
wormhole,1,seq,10000,6000,0.000617209,0.000228538,0.000557364
PGM,1,seq,11000,6000,1.20705,0.000958325,1.29901
wormhole,1,seq,11000,6000,0.00070192,0.0002712,0.000644003
PGM,1,seq,12000,6000,1.14499,0.000877652,1.30237
wormhole,1,seq,12000,6000,0.0005894,0.000244574,0.000535995
PGM,1,seq,13000,6000,1.18492,0.000960419,1.3367
wormhole,1,seq,13000,6000,0.00057768,0.000232846,0.000547393
PGM,1,seq,14000,6000,1.31789,0.000983833,1.32336
wormhole,1,seq,14000,6000,0.000543976,0.0002314,0.000564615
PGM,1,seq,15000,6000,1.32655,0.000983618,1.33079
